State,Population 
AL,4888949
AK,738068
AZ,7123898
AR,3020327
CA,39776830
CO,5684203
CT,3588683
DE,971180
DC,703608
FL,21312211
GA,10545138
HI,1426393
ID,1753860
IL,12768320
IN,6699629
IA,3160553
KS,2918515
KY,4472265
LA,4682509
ME,1341582
MD,6079602
MA,6895917
MI,9991177
MN,5628162
MS,2982785
MO,6135888
MT,1062330
NE,1932549
NV,3056824
NH,1350575
NJ,9032872
NM,2090708
NY,19862512
NC,10390149
ND,755238
OH,11694664
OK,3940521
OR,4199563
PA,12823989
RI,1061712
SC,5088916
SD,877790
TN,6782564
TX,28704330
UT,3159345
VT,623960
VA,8525660
WA,7530552
WV,1803077
WI,5818049
WY,573720